Date,Open,High,Low,Last,Change,Price,Volume,Previous Day Open Interest
4/21/82,116.35,117.6,116.05,117.45,,117.45,3696,412
4/22/82,117,118.4,117,117.9,,117.9,2827,719
4/23/82,118.4,119.75,118.25,119.65,,119.65,2933,946
4/26/82,119.3,120.6,118.65,120.55,,120.55,2871,1084
4/27/82,120.2,120.35,118.4,118.85,,118.85,3854,1142
4/28/82,118.55,119.3,117.7,118.15,,118.15,3998,1306
4/29/82,117.5,118.15,117.25,117.6,,117.6,3446,1219
4/30/82,117.55,118.4,117.4,117.5,,117.5,2722,1295
5/3/82,117.1,117.5,116.8,117.15,,117.15,2695,1585
5/4/82,117.25,118.05,117.25,117.8,,117.8,2467,1537
5/5/82,117.85,118.3,117.05,117.55,,117.55,2556,1662
5/6/82,118.05,119.2,118.05,119.1,,119.1,4574,2078
5/7/82,119.15,120.1,119,119.65,,119.65,3715,2128
5/10/82,119.2,119.4,118.45,118.5,,118.5,3794,2467
5/11/82,118.45,119.95,118.35,119.7,,119.7,4460,2998
5/12/82,119.85,120.35,119.05,119.55,,119.55,4798,2655
5/13/82,119.55,119.75,118.15,118.35,,118.35,4736,2935
5/14/82,118.55,118.75,118.1,118.3,,118.3,3748,2751
5/17/82,118.15,118.15,116.5,116.6,,116.6,3973,2929
5/18/82,116.6,116.7,115.75,116,,116,6090,3399
5/19/82,115.95,116.35,114.45,114.65,,114.65,6686,3732
5/20/82,114.85,115.2,114.15,114.95,,114.95,7539,4858
5/21/82,115.25,115.6,114.75,114.9,,114.9,4763,4697
5/24/82,114.8,115.15,114.15,115,,115,4917,4717
5/25/82,115.2,115.65,113.45,113.75,,113.75,13321,5155
5/26/82,114,114.1,112,112.5,,112.5,11687,5187
5/27/82,112.45,112.6,111.2,111.85,,111.85,9825,3841
5/28/82,111.7,112.5,110.75,111,,111,6838,3977
6/1/82,110.75,111.2,109.9,110.05,,110.05,7378,4167
6/2/82,110.3,111.75,109.85,111.55,,111.55,7273,4140
6/3/82,111.65,112.05,109.7,110.5,,110.5,8020,3678
6/4/82,110.4,110.45,108,108.1,,108.1,7160,3412
6/7/82,108.1,109.85,107.45,109.05,,109.05,9489,4197
6/8/82,108.8,109.95,107.9,108.5,,108.5,11257,3902
6/9/82,108.5,109.1,107.6,108.6,,108.6,10188,3948
6/10/82,108.5,109.85,108.25,109.15,,109.15,7299,3074
6/11/82,110.2,111.7,110.1,111.45,,111.45,4013,2723
6/14/82,110,110.45,108.8,108.9,,108.9,2250,2566
6/15/82,109.05,110,108.3,109.9,,109.9,1246,2021
6/16/82,109.9,110.2,108.75,108.95,,108.95,1135,1575
6/17/82,108,108.25,107.4,107.6,,107.6,401,642
6/18/82,105.8,106.15,104.35,104.65,,104.65,7257,7232
6/21/82,105.2,107.4,104.75,106.5,,106.5,10875,7596
6/22/82,106.5,109.5,106.1,109.4,,109.4,11220,7837
6/23/82,108.85,112.15,108.1,111.85,,111.85,13395,7073
6/24/82,112.1,112.6,109.75,110.2,,110.2,13891,6153
6/25/82,110,110.8,108.8,110.35,,110.35,9903,6345
6/28/82,110.05,112.35,109.65,112.2,,112.2,9531,6249
6/29/82,111.85,112.45,111.1,112.25,,112.25,9849,6007
6/30/82,113.3,113.45,111.05,111.5,,111.5,10742,6654
7/1/82,111.5,111.75,109.75,109.85,,109.85,8745,6786
7/2/82,109.55,109.55,107.85,108.3,,108.3,7316,6885
7/6/82,108.4,109.5,106.4,109.4,,109.4,9978,6954
7/7/82,108.8,110,107.75,109.3,,109.3,11699,7096
7/8/82,109.5,111,106.8,110.85,,110.85,14449,6964
7/9/82,111.5,113,110.2,112.7,,112.7,14711,7449
7/12/82,112.9,113.3,111.75,112.25,,112.25,11499,8259
7/13/82,110.7,112.9,110.7,111.8,,111.8,11999,8510
7/14/82,111.5,113.6,110.55,113.55,,113.55,10248,8622
7/15/82,113.7,114.3,112.85,113.5,,113.5,11745,8544
7/16/82,113.5,115.15,113.1,114.1,,114.1,7792,8706
7/19/82,114.35,114.5,112.3,112.45,,112.45,8940,9426
7/20/82,113,114.3,111.8,114.2,,114.2,10020,9672
7/21/82,114.1,114.95,113.05,113.15,,113.15,10457,9539
7/22/82,113.1,114.5,112.75,113.55,,113.55,10404,9470
7/23/82,113.4,113.95,112.4,112.6,,112.6,7656,10297
7/26/82,111.8,112.75,111.1,111.2,,111.2,8221,9894
7/27/82,111.35,112,110.2,110.6,,110.6,9249,9900
7/28/82,110.5,110.75,108.2,108.25,,108.25,11915,11678
7/29/82,108.7,109.15,106.5,108.35,,108.35,13785,10335
7/30/82,108.8,108.8,106.75,107.35,,107.35,11330,10268
8/2/82,108.6,110.05,107.85,110,,110,11397,9171
8/3/82,109.45,109.75,106.95,107.2,,107.2,11137,9354
8/4/82,107,107.6,104.85,105.15,,105.15,12443,10020
8/5/82,104.75,105.7,103.85,105.4,,105.4,12454,9929
8/6/82,104.8,105.5,102.4,102.6,,102.6,10931,10023
8/9/82,101.95,103.95,101.15,103.85,,103.85,13245,9370
8/10/82,103.85,104.5,101.8,102.05,,102.05,15112,9772
8/11/82,102,103.5,101.75,102.65,,102.65,14232,9652
8/12/82,103.05,104.05,102.05,102.35,,102.35,11643,9507
8/13/82,102.5,105,102.4,104.85,,104.85,9726,8913
8/16/82,105.6,106.4,103.2,103.3,,103.3,13047,8800
8/17/82,103.9,108.3,103.75,108.3,,108.3,18093,9350
8/18/82,109.7,111.55,107.4,108.15,,108.15,19597,9098
8/19/82,108.25,110.4,107.05,109.25,,109.25,19280,7868
8/20/82,110.1,114.25,109.3,114.25,,114.25,14745,7584
8/23/82,112.9,117.1,112.45,116.5,,116.5,17050,7704
8/24/82,116,117.3,114.3,115,,115,18495,8106
8/25/82,115,118,114.8,117.15,,117.15,17624,7705
8/26/82,117.6,119.4,116.3,118.05,,118.05,17590,7473
8/27/82,116.4,117.4,115.1,115.9,,115.9,13816,7268
8/30/82,115.75,118.05,114.9,118,,118,13221,7655
8/31/82,117.8,119.8,117.25,118.85,,118.85,16668,7119
9/1/82,119.15,119.6,116.75,117,,117,12654,6952
9/2/82,117.5,121.5,116.6,120.9,,120.9,14702,6990
9/3/82,121.6,125.5,121.4,123.1,,123.1,14530,6081
9/7/82,123.4,123.4,120.95,121.75,,121.75,9915,5765
9/8/82,121.4,124.45,121.2,122.65,,122.65,11468,4853
9/9/82,122,123.9,120.7,120.95,,120.95,9196,4854
9/10/82,120.6,120.95,118.85,119.65,,119.65,5382,3412
9/13/82,119.6,123.5,119,123.4,,123.4,2738,2680
9/14/82,123.2,124.5,122.55,123.35,,123.35,2259,2178
9/15/82,123.85,124.3,122.45,123.9,,123.9,1414,1850
9/16/82,124.1,124.9,123.6,123.77,,123.77,888,1241
9/17/82,123.3,124.35,122.25,122.65,,122.65,14340,10954
9/20/82,121.65,123.5,121.2,123.45,,123.45,16759,11204
9/21/82,123.65,126.5,123.3,126.35,,126.35,19404,10683
9/22/82,127.05,127.65,122,122.2,,122.2,22335,10569
9/23/82,123.3,124.3,121.5,123.8,,123.8,22317,10925
9/24/82,123,123.5,121.9,122.95,,122.95,15462,10656
9/27/82,122.4,124.2,121.8,124.05,,124.05,10069,10780
9/28/82,124.3,125.1,122.25,122.35,,122.35,17985,10686
9/29/82,122.35,122.4,119.8,119.95,,119.95,19153,11262
9/30/82,120,120.55,118.9,119.35,,119.35,18840,11819
10/1/82,119.25,121.5,119.25,120.15,,120.15,15177,12548
10/4/82,119.2,120.75,118.55,120.7,,120.7,18976,13103
10/5/82,120.55,121.9,120.25,120.55,,120.55,17402,12780
10/6/82,121,125.55,121,125.55,,125.55,18453,12448
10/7/82,128.7,130.55,127.7,130.15,,130.15,27013,10675
10/8/82,130.75,132.6,129.05,132.1,,132.1,22558,10648
10/11/82,134.5,137.1,133.5,135.8,,135.8,22804,11515
10/12/82,135.5,137.15,132.7,134.05,,134.05,26732,11268
10/13/82,133.4,139,133.25,137.65,,137.65,25619,11790
10/14/82,137.25,137.7,134.65,134.95,,134.95,19080,11416
10/15/82,134.45,135.75,133.6,135.3,,135.3,16647,11736
10/18/82,134.9,139,134.9,138.7,,138.7,17767,11999
10/19/82,139.3,139.7,135.1,137.4,,137.4,25602,11593
10/20/82,137,141.7,136.3,141.45,,141.45,25255,11843
10/21/82,141.4,142,138.3,141.1,,141.1,24593,12430
10/22/82,140.9,143,138.25,138.45,,138.45,25660,12057
10/25/82,136.8,137.35,133.45,133.45,,133.45,24146,12606
10/26/82,134.25,136.65,131.8,136.25,,136.25,35673,11991
10/27/82,136.25,137.6,134.6,135.2,,135.2,27437,10719
10/28/82,136.3,136.7,133.75,133.9,,133.9,22202,10564
10/29/82,134.6,135.55,133.55,134.55,,134.55,17330,11022
11/1/82,135,137.5,134.2,137.45,,137.45,20160,11170
11/2/82,137.7,140.9,137.5,138.85,,138.85,26586,11271
11/3/82,139.2,143.85,139.05,143.85,,143.85,27615,12819
11/4/82,145,146.3,142.55,144.05,,144.05,32042,11918
11/5/82,143.25,145.4,142.75,143.2,,143.2,23553,11621
11/8/82,142.4,142.8,141.2,142.2,,142.2,20299,11934
11/9/82,142.4,146.05,142.25,145.8,,145.8,25233,12225
11/10/82,145.9,146.8,141,141.7,,141.7,29645,12116
11/11/82,140.5,144.35,140,144.15,,144.15,27396,13398
