Date,Price,Open,High,Low,Vol.,Change %
1980-01-02,38.85,39.5,39.5,37.5,2.46K,12.77%
1980-01-03,37.1,39.5,40.05,36.05,3.02K,-4.50%
1980-01-04,36.1,33.25,36.75,32.6,1.90K,-2.70%
1980-01-07,35.8,38.5,38.9,34.3,2.24K,-0.83%
1980-01-08,31.91,33.405,34.45,31.7,1.17K,-10.87%
1980-01-09,33.6,33.1,34.45,32.65,2.36K,5.30%
1980-01-10,33.75,33.925,35.2,33.4,1.99K,0.45%
1980-01-11,38.75,36.625,38.9,36.2,2.39K,14.81%
1980-01-14,42.5,41.375,43.0,40.75,2.69K,9.68%
1980-01-15,46.3,44.25,47.0,43.5,2.99K,8.94%
1980-01-16,45.7,48.75,49.0,44.8,2.82K,-1.30%
1980-01-17,48.7,44.25,48.8,44.2,2.45K,6.56%
1980-01-18,46.8,49.8,50.35,46.0,2.78K,-3.90%
1980-01-21,44.0,48.5,49.0,37.0,0.07K,-5.98%
1980-01-22,34.0,39.5,40.5,32.5,0.86K,-22.73%
1980-01-23,37.5,35.4,38.0,30.25,0.32K,10.29%
1980-01-24,36.5,38.75,39.5,36.0,0.17K,-2.67%
1980-01-25,33.5,37.6,37.6,33.5,0.12K,-8.22%
1980-01-28,33.95,34.5,34.8,33.01,0.24K,1.34%
1980-01-29,36.4,36.0,36.0,36.0,0.00K,7.22%
1980-01-30,35.85,35.5,35.5,35.5,0.00K,-1.51%
1980-01-31,34.6,35.1,35.1,34.2,0.07K,-3.49%
1980-02-01,34.15,34.4,34.4,34.4,0.00K,-1.30%
1980-02-04,33.0,33.0,33.0,32.8,0.02K,-3.37%
1980-02-05,34.85,34.96,35.4,34.0,0.12K,5.61%
1980-02-06,37.75,39.1,39.1,37.75,0.12K,8.32%
1980-02-07,36.5,37.0,37.8,36.5,0.16K,-3.31%
1980-02-08,37.1,37.5,38.5,37.0,0.15K,1.64%
1980-02-11,38.5,39.5,39.8,38.0,0.41K,3.77%
1980-02-12,38.0,38.4,38.5,37.5,0.11K,-1.30%
1980-02-13,37.0,38.0,38.0,36.3,0.04K,-2.63%
1980-02-14,36.2,36.5,36.9,36.1,0.04K,-2.16%
1980-02-15,35.8,35.6,35.8,34.65,0.13K,-1.10%
1980-02-19,31.0,34.5,34.5,29.0,0.89K,-13.41%
1980-02-20,33.3,28.5,33.4,27.8,1.16K,7.42%
1980-02-21,34.56,34.0,34.85,32.75,0.32K,3.78%
1980-02-22,32.0,33.25,33.25,31.0,0.77K,-7.41%
1980-02-25,33.9,32.1,34.0,31.4,0.92K,5.94%
1980-02-26,33.56,33.9,33.9,33.1,0.10K,-1.00%
1980-02-27,33.7,33.2,34.15,33.1,1.55K,0.42%
1980-02-28,35.2,35.7,35.7,34.8,1.64K,4.45%
1980-02-29,35.3,34.5,35.6,34.3,0.77K,0.28%
1980-03-03,35.2,34.85,35.4,33.7,0.90K,-0.28%
1980-03-04,36.15,34.7,36.25,34.65,0.72K,2.70%
1980-03-05,36.05,36.85,37.25,36.0,0.37K,-0.28%
1980-03-06,33.1,35.6,35.6,33.1,0.54K,-8.18%
1980-03-07,32.9,32.4,33.45,32.1,0.82K,-0.60%
1980-03-10,29.75,30.5,30.75,26.75,2.45K,-9.57%
1980-03-11,29.1,28.5,30.5,28.0,1.75K,-2.18%
1980-03-12,29.3,30.3,30.8,29.0,0.97K,0.69%
1980-03-13,25.5,27.1,27.3,23.7,2.66K,-12.97%
1980-03-14,21.0,24.0,25.2,20.5,3.27K,-17.65%
1980-03-17,17.4,20.5,20.6,16.8,4.39K,-17.14%
1980-03-18,17.8,17.85,18.3,16.0,2.86K,2.30%
1980-03-19,20.55,20.3,20.75,19.4,1.85K,15.45%
1980-03-20,22.35,22.1,22.5,21.3,1.42K,8.76%
