Date,Open,High,Low,Price,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
8/20/73,67.8,68,67.3,67.35,,,150,1220,,,
8/21/73,67.5,67.6,66.6,67.1,,,113,1221,,,
8/22/73,67,67.8,65.5,65.8,,,168,1169,,,
8/23/73,65.4,67.75,65.4,66.75,,,151,1165,,,
8/24/73,67.4,67.55,66.4,66.6,,,99,1172,,,
8/27/73,65.95,66.4,65.75,65.9,,,83,1144,,,
8/28/73,66.1,66.1,64,64,,,203,1079,,,
8/29/73,63.1,64.1,62,63.45,,,250,1089,,,
8/30/73,63,64,63,63.87,,,176,1086,,,
8/31/73,64.3,64.69,63.8,64.02,,,144,1073,,,
9/4/73,65.45,65.5,64.2,64.32,,,121,1078,,,
9/5/73,63.5,63.85,63.35,63.7,,,64,1080,,,
9/6/73,63.5,64,63.31,63.6,,,85,1082,,,
9/7/73,63.5,64.1,63.5,63.8,,,89,1086,,,
9/10/73,63.75,63.85,63.3,63.35,,,69,1122,,,
9/11/73,63.1,63.3,62.45,63.02,,,106,1126,,,
9/12/73,63.3,63.95,63.3,63.65,,,105,1156,,,
9/13/73,65,65.4,64.4,64.5,,,162,1116,,,
9/14/73,64.9,66.45,64.5,66.45,,,107,1101,,,
9/17/73,65.3,66,64.7,65.75,,,206,1026,,,
9/18/73,65.7,66.01,64.75,65.62,,,179,1045,,,
9/19/73,65.5,65.75,65,65.15,,,84,1054,,,
9/20/73,65,65.3,64.6,64.8,,,109,1059,,,
9/21/73,64.6,65.15,64.55,64.65,,,121,1047,,,
9/24/73,65.1,66.15,64.85,65.7,,,91,1058,,,
9/25/73,66.5,67.5,66.5,67.3,,,507,1077,,,
9/26/73,67.5,69.2,67.5,68.4,,,132,1120,,,
9/27/73,68.6,69.35,68.1,68.55,,,132,1126,,,
9/28/73,68.4,68.5,67.7,67.82,,,91,1000,,,
10/1/73,67.75,68.35,67.75,68,,,65,1126,,,
10/2/73,68.31,68.95,68.3,68.47,,,171,1187,,,
10/3/73,68.75,68.8,68.2,68.45,,,4,1201,,,
10/4/73,68.2,68.45,67.8,68.12,,,136,1213,,,
10/5/73,68.11,68.48,67,68.22,,,150,1242,,,
10/9/73,68.7,68.7,67.5,67.7,,,129,1241,,,
10/10/73,67.88,68.35,67.81,67.95,,,86,1264,,,
10/11/73,67.8,67.8,67,67.02,,,189,1227,,,
10/12/73,66.8,66.8,65.03,65.07,,,252,1170,,,
10/15/73,64.1,64.6,63.74,64.15,,,267,1124,,,
10/16/73,64.75,65,64.1,64.33,,,137,1135,,,
10/17/73,64.1,64.65,64.1,64.2,,,86,1125,,,
10/18/73,63.8,65,63.8,64.93,,,172,1124,,,
10/19/73,65.3,65.45,64.8,65.2,,,154,1119,,,
10/23/73,65.4,65.65,65.1,65.2,,,93,1114,,,
10/24/73,65.05,65.05,64.5,64.53,,,113,1133,,,
10/25/73,64.6,64.9,64.5,64.83,,,146,1137,,,
10/26/73,65.1,65.15,64.6,64.78,,,128,1172,,,
10/29/73,64.9,64.9,64.1,64.38,,,114,1179,,,
10/30/73,64.3,64.5,64.2,64.48,,,75,1159,,,
10/31/73,65,65.2,64.9,65.05,,,141,1149,,,
11/1/73,65.4,65.48,61.51,65.44,,,95,1150,,,
11/2/73,65.4,65.4,64.5,64.75,,,83,1133,,,
11/5/73,65.2,65.4,65,65.2,,,56,1136,,,
11/7/73,65.5,65.75,65.35,65.5,,,118,1157,,,
11/8/73,65.6,65.7,65.45,65.7,,,101,1143,,,
11/9/73,65.8,65.8,65.5,65.7,,,34,1142,,,
11/12/73,66,66.15,65.7,66.1,,,119,1142,,,
11/13/73,65.96,66,65.7,65.7,,,91,1139,,,
11/14/73,65.5,65.5,64.05,64.13,,,240,1140,,,
11/15/73,64,64.5,63.75,64.45,,,73,1121,,,
11/16/73,64.7,64.8,64.5,64.7,,,69,1086,,,
11/19/73,65,65.25,64.85,65.03,,,80,1071,,,
11/20/73,65.1,65.1,64,64,,,98,1097,,,
11/21/73,64,64.3,63.75,63.81,,,90,1071,,,
11/23/73,63.8,64.25,63.75,64.1,,,58,1056,,,
11/26/73,63.75,63.8,62.7,62.75,,,161,938,,,
11/27/73,62.6,63,61.95,62.1,,,195,821,,,
11/28/73,61.75,62.5,61.75,61.9,,,139,446,,,
11/29/73,62.1,62.75,62.1,62.7,,,111,328,,,
11/30/73,62.5,62.75,62.42,62.5,,,34,292,,,
12/3/73,62.3,63,62.2,63,,,33,283,,,
12/4/73,62.55,63.25,62.5,63.05,,,10,237,,,
12/5/73,63,63,62.8,63,,,30,127,,,
12/6/73,63,63,62.85,63,,,25,131,,,
12/7/73,63,64,63,64,,,49,119,,,
12/10/73,64.2,64.25,64.1,64.2,,,32,127,,,
12/11/73,64,64.25,63.9,63.9,,,29,82,,,
12/12/73,63.8,64.05,63.8,64.05,,,55,100,,,
12/13/73,64.4,64.5,63.7,63.7,,,18,43,,,
12/14/73,63.2,63.5,63.2,63.5,,,0,46,,,
12/17/73,63.05,63.4,63,63.4,,,8,33,,,
12/18/73,63.5,63.5,63.4,63.45,,,3,34,,,
12/19/73,63.45,63.75,63.45,63.75,,,5,34,,,
12/20/73,63.9,64.1,63.9,64.1,,,22,27,,,
12/21/73,64.1,64.45,63.6,63.6,,,9,6,,,
12/26/73,64,64,63.9,63.9,,,1,12,,,
12/27/73,67.56,68.8,67,67.4,,,120,2104,,,
12/28/73,67.2,67.2,66.55,67.05,,,190,2010,,,
12/31/73,67.4,67.49,67.28,67.4,,,79,2036,,,
1/2/74,67.64,69.4,67.35,68.9,,,403,2133,,,
1/3/74,68.8,69.55,68.75,68.8,,,261,2121,,,
1/4/74,68.5,68.6,68.05,68.4,,,168,2063,,,
1/7/74,68.75,70.1,68.6,69.78,,,356,2109,,,
1/8/74,69.8,70,69,69.2,,,133,2070,,,
1/9/74,69.4,70,68.7,69.03,,,227,2000,,,
1/10/74,69.3,69.7,69.3,69.58,,,119,1997,,,
1/11/74,69.6,71,69.4,70.85,,,194,2039,,,
1/14/74,71.55,72.85,71.15,72.85,,,374,1968,,,
1/15/74,73,73.15,71.6,71.95,,,213,1934,,,
1/16/74,71.75,72.5,70.9,72.38,,,360,1848,,,
1/17/74,72,73,71.7,71.9,,,294,1820,,,
1/18/74,71.2,72.5,71.2,71.8,,,172,1792,,,
1/21/74,72.5,73.8,72.5,73.8,,,235,1803,,,
1/22/74,73.25,73.6,72.8,73.1,,,170,1714,,,
1/23/74,72.1,72.97,72,72.25,,,224,1574,,,
1/24/74,72.6,74.25,72.3,74.05,,,169,1553,,,
1/25/74,75.5,76,74.51,74.85,,,279,1528,,,
1/28/74,75,75.25,73.9,74.25,,,163,1465,,,
1/29/74,73.6,75,73.4,73.73,,,197,1428,,,
1/30/74,73.5,74.45,73.15,73.28,,,233,1358,,,
1/31/74,72.9,73.55,72.6,72.65,,,132,1328,,,
2/1/74,72.95,73.75,72.8,73.33,,,98,1319,,,
2/4/74,74.1,75.33,74.1,75.33,,,101,1303,,,
2/5/74,76.1,76.55,75.35,75.5,,,88,1257,,,
