Date,Open,High,Low,Price,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
10/14/59,30.68,30.68,30.62,30.68,,,4,43,,,
10/20/59,30.85,30.85,30.85,30.85,,,17,69,,,
1/22/60,31.49,31.53,31.49,31.49,,,11,255,,,
7/14/60,31.57,31.57,31.57,31.57,,,3,341,,,
7/15/60,31.6,31.63,31.6,31.63,,,0,341,,,
7/18/60,31.7,31.77,31.7,31.77,,,4,341,,,
7/19/60,31.75,31.75,31.71,31.71,,,29,352,,,
7/20/60,31.62,31.62,31.62,31.62,,,7,354,,,
7/21/60,31.58,31.58,31.58,31.58,,,0,354,,,
7/22/60,31.62,31.62,31.62,31.62,,,0,354,,,
7/25/60,31.65,31.65,31.65,31.65,,,0,354,,,
7/26/60,31.68,31.68,31.68,31.68,,,0,354,,,
7/27/60,31.69,31.69,31.69,31.69,,,0,354,,,
7/28/60,31.72,31.77,31.72,31.73,,,1,355,,,
7/29/60,31.69,31.69,31.68,31.68,,,8,353,,,
8/1/60,31.55,31.55,31.54,31.55,,,2,352,,,
8/2/60,31.51,31.52,31.51,31.51,,,5,354,,,
8/3/60,31.59,31.59,31.55,31.55,,,2,352,,,
8/4/60,31.59,31.59,31.59,31.59,,,5,350,,,
8/5/60,31.65,31.65,31.65,31.65,,,0,350,,,
8/8/60,31.72,31.83,31.72,31.82,,,1,349,,,
8/9/60,31.81,31.82,31.8,31.8,,,23,360,,,
8/10/60,31.8,31.8,31.76,31.76,,,13,370,,,
8/11/60,31.73,31.75,31.73,31.75,,,10,364,,,
8/12/60,31.75,31.75,31.75,31.75,,,8,366,,,
8/15/60,31.72,31.72,31.66,31.67,,,2,366,,,
8/16/60,31.66,31.66,31.66,31.66,,,9,368,,,
8/17/60,31.69,31.7,31.69,31.7,,,1,368,,,
8/18/60,31.72,31.77,31.72,31.77,,,3,364,,,
8/19/60,31.73,31.81,31.73,31.81,,,8,363,,,
8/22/60,31.82,31.83,31.81,31.82,,,9,362,,,
8/23/60,31.84,31.84,31.81,31.82,,,19,370,,,
8/24/60,31.82,31.82,31.82,31.82,,,16,371,,,
8/25/60,31.81,31.81,31.81,31.81,,,2,371,,,
8/26/60,31.84,31.84,31.84,31.84,,,3,371,,,
8/29/60,31.83,31.83,31.83,31.83,,,0,371,,,
8/30/60,31.82,31.82,31.82,31.82,,,1,371,,,
8/31/60,31.83,31.83,31.83,31.83,,,0,371,,,
9/1/60,31.78,31.78,31.78,31.78,,,1,371,,,
9/2/60,31.78,31.78,31.78,31.78,,,1,369,,,
9/6/60,31.75,31.75,31.75,31.75,,,3,368,,,
9/7/60,31.77,31.77,31.77,31.77,,,0,368,,,
9/8/60,31.77,31.82,31.77,31.82,,,0,368,,,
9/9/60,31.82,31.82,31.82,31.82,,,5,373,,,
9/12/60,31.8,31.8,31.78,31.78,,,0,373,,,
9/13/60,31.77,31.81,31.75,31.78,,,4,377,,,
9/14/60,31.76,31.76,31.71,31.71,,,16,390,,,
9/15/60,31.7,31.7,31.67,31.68,,,5,395,,,
9/16/60,31.71,31.71,31.71,31.71,,,4,396,,,
9/19/60,31.8,31.8,31.8,31.8,,,0,396,,,
9/20/60,31.82,31.82,31.82,31.82,,,4,399,,,
9/21/60,31.82,31.87,31.82,31.83,,,4,399,,,
9/22/60,31.83,31.85,31.78,31.78,,,25,414,,,
9/23/60,31.8,31.8,31.8,31.8,,,19,431,,,
9/26/60,31.85,31.87,31.81,31.81,,,5,436,,,
9/27/60,31.83,31.85,31.83,31.85,,,12,440,,,
9/28/60,31.88,31.94,31.81,31.84,,,6,442,,,
9/29/60,31.96,31.96,31.87,31.87,,,21,451,,,
9/30/60,31.87,31.87,31.86,31.86,,,20,459,,,
10/3/60,31.85,31.85,31.85,31.85,,,2,460,,,
10/4/60,31.85,31.85,31.85,31.85,,,0,460,,,
10/5/60,31.87,31.89,31.86,31.86,,,5,460,,,
10/6/60,31.86,31.86,31.83,31.83,,,5,463,,,
10/7/60,31.83,31.84,31.83,31.83,,,5,465,,,
10/10/60,31.83,31.9,31.83,31.9,,,3,464,,,
10/11/60,31.9,31.93,31.9,31.9,,,5,465,,,
10/12/60,31.9,31.9,31.9,31.9,,,7,469,,,
10/13/60,31.82,31.83,31.81,31.81,,,1,470,,,
10/14/60,31.79,31.8,31.78,31.8,,,12,478,,,
10/17/60,31.83,31.83,31.83,31.83,,,19,490,,,
10/18/60,31.81,31.81,31.8,31.8,,,3,490,,,
10/19/60,31.82,31.82,31.82,31.82,,,4,494,,,
10/20/60,31.94,32.1,31.94,32,,,4,495,,,
10/21/60,32.04,32.09,32.04,32.09,,,23,503,,,
10/24/60,32.1,32.1,32.1,32.1,,,21,498,,,
10/25/60,32,32,32,32,,,4,498,,,
10/26/60,32.07,32.07,32,32,,,1,499,,,
10/27/60,32,32.01,32,32,,,27,500,,,
10/28/60,32,32,31.98,31.98,,,16,499,,,
10/31/60,31.98,32.02,31.98,31.99,,,26,505,,,
11/1/60,32.02,32.1,32.02,32.1,,,4,507,,,
11/2/60,32.12,32.19,32.12,32.17,,,18,523,,,
11/3/60,32.2,32.24,32.2,32.22,,,16,533,,,
11/4/60,32.25,32.32,32.25,32.28,,,18,542,,,
11/7/60,32.3,32.3,32.23,32.23,,,55,544,,,
11/9/60,32.54,32.57,32.39,32.39,,,14,542,,,
11/10/60,32.44,32.51,32.44,32.47,,,49,569,,,
11/11/60,32.49,32.51,32.48,32.49,,,91,623,,,
