Date,Price,Open,High,Low,Vol.,Change %
1980-01-02,23.83,23.8,23.98,23.63,-,0.21%
1980-01-03,23.92,23.85,23.99,23.72,-,0.38%
1980-01-04,23.82,24.0,24.07,23.76,-,-0.42%
1980-01-09,22.83,22.5,23.05,22.4,-,-4.16%
1980-01-10,23.25,22.7,23.3,22.7,-,1.84%
1980-01-11,23.42,23.35,23.45,23.2,-,0.73%
1980-01-14,23.2,23.36,23.36,23.01,-,-0.94%
1980-01-15,23.0,23.23,23.25,22.95,-,-0.86%
1980-01-16,22.87,22.75,23.05,22.74,-,-0.57%
1980-01-17,23.55,22.93,23.7,22.87,-,2.97%
1980-01-18,23.48,23.35,23.8,23.35,-,-0.30%
1980-01-21,23.6,23.4,24.0,23.35,-,0.51%
1980-01-22,23.36,23.4,23.45,23.3,-,-1.02%
1980-01-23,23.97,23.65,24.0,23.65,-,2.61%
1980-01-24,23.71,23.95,23.95,23.67,-,-1.08%
1980-01-25,23.51,23.75,23.85,23.48,-,-0.84%
1980-01-28,23.57,23.4,23.65,23.35,-,0.26%
1980-01-29,23.67,23.6,23.97,23.6,-,0.42%
1980-01-30,24.11,23.75,24.18,23.75,-,1.86%
1980-01-31,24.16,24.05,24.18,23.88,-,0.21%
1980-02-01,24.13,24.25,24.45,24.05,-,-0.12%
1980-02-04,24.57,24.15,24.65,24.1,-,1.82%
1980-02-05,24.41,24.5,24.7,24.3,-,-0.65%
1980-02-06,24.36,24.45,24.87,24.35,-,-0.20%
1980-02-07,24.63,24.45,24.65,24.25,-,1.11%
1980-02-08,24.32,24.6,24.75,24.31,-,-1.26%
1980-02-11,24.18,24.25,24.35,24.15,-,-0.58%
1980-02-12,23.96,24.1,24.1,23.9,-,-0.91%
1980-02-13,23.98,23.9,24.1,23.89,-,0.08%
1980-02-14,23.42,24.0,24.05,23.4,-,-2.34%
1980-02-15,23.27,23.5,23.5,23.22,-,-0.64%
1980-02-19,22.76,23.2,23.2,22.76,-,-2.19%
1980-02-20,22.82,22.8,22.95,22.69,-,0.26%
1980-02-21,22.92,22.98,22.98,22.82,-,0.44%
1980-02-22,22.82,22.9,22.93,22.82,-,-0.44%
1980-02-25,22.98,22.75,23.1,22.75,-,0.70%
1980-02-26,22.8,23.0,23.1,22.77,-,-0.78%
1980-02-27,23.0,22.75,23.05,22.65,-,0.88%
1980-02-28,22.66,22.9,23.0,22.65,-,-1.48%
1980-02-29,22.58,22.52,22.75,22.5,-,-0.35%
1980-03-03,22.49,22.45,22.62,22.4,-,-0.40%
1980-03-04,22.63,22.55,22.78,22.55,-,0.62%
1980-03-05,22.71,22.55,22.82,22.55,-,0.35%
1980-03-06,22.52,22.78,22.83,22.5,-,-0.84%
1980-03-07,22.34,22.45,22.5,22.34,-,-0.80%
1980-03-10,22.22,22.27,22.28,22.0,-,-0.54%
1980-03-11,22.2,22.2,22.28,22.16,-,-0.09%
1980-03-12,22.45,22.25,22.45,22.15,-,1.13%
1980-03-13,21.98,22.4,22.4,21.95,-,-2.09%
1980-03-14,22.01,21.9,22.06,21.9,-,0.14%
1980-03-17,22.12,21.9,22.15,21.8,-,0.50%
1980-03-18,22.1,22.23,22.25,22.02,-,-0.09%
1980-03-19,22.29,22.15,22.3,22.15,-,0.86%
1980-03-20,22.15,22.35,22.35,22.15,-,-0.63%
1980-03-21,22.14,22.3,22.3,22.14,-,-0.05%
1980-03-24,22.01,22.08,22.15,21.97,-,-0.59%
1980-03-25,22.01,22.0,22.1,21.95,-,0.00%
1980-03-26,21.91,21.9,21.95,21.86,-,-0.45%
1980-03-27,21.52,21.75,21.75,21.25,-,-1.78%
1980-03-28,21.23,21.57,21.6,21.15,-,-1.35%
1980-03-31,20.74,21.18,21.25,20.72,-,-2.31%
1980-04-01,20.52,20.65,20.68,20.21,-,-1.06%
1980-04-02,20.32,20.35,20.4,20.05,-,-0.97%
1980-04-03,20.46,20.3,20.57,20.3,-,0.69%
1980-04-07,20.25,20.5,20.56,20.25,-,-1.03%
1980-04-08,20.42,20.3,20.45,20.23,-,0.84%
1980-04-09,20.97,20.65,20.98,20.52,-,2.69%
1980-04-10,20.57,20.9,20.9,20.52,-,-1.91%
1980-04-11,20.68,20.6,20.8,20.48,-,0.53%
1980-04-14,20.51,20.7,20.74,20.4,-,-0.82%
1980-04-15,20.81,20.4,20.85,20.4,-,1.46%
1980-04-16,21.09,20.85,21.19,20.83,-,1.35%
1980-04-17,20.82,21.0,21.08,20.8,-,-1.28%
1980-04-18,20.43,20.6,20.65,20.4,-,-1.87%
1980-04-21,20.64,20.4,20.7,20.15,-,1.03%
1980-04-22,20.57,20.57,20.65,20.4,-,-0.34%
1980-04-23,20.2,20.52,20.6,20.18,-,-1.80%
1980-04-24,20.18,20.18,20.32,20.14,-,-0.10%
1980-04-25,20.48,20.4,20.79,20.38,-,1.49%
1980-04-28,20.11,20.3,20.38,20.1,-,-1.81%
1980-04-29,19.81,20.05,20.15,19.76,-,-1.49%
1980-04-30,19.86,19.7,19.88,19.53,-,0.25%
1980-05-01,19.77,19.8,19.95,19.75,-,-0.45%
1980-05-02,19.97,19.75,20.0,19.75,-,1.01%
1980-05-05,20.6,20.15,20.6,20.1,-,3.15%
1980-05-06,20.26,20.58,20.58,20.26,-,-1.65%
1980-05-07,20.36,20.3,20.54,20.13,-,0.49%
1980-05-08,20.67,20.4,21.2,20.35,-,1.52%
1980-05-09,20.96,20.6,21.05,20.55,-,1.40%
1980-05-12,20.54,20.65,21.08,20.53,-,-2.00%
1980-05-13,20.82,20.55,20.87,20.55,-,1.36%
1980-05-14,20.87,20.95,21.05,20.8,-,0.24%
1980-05-15,20.99,20.85,21.05,20.64,-,0.57%
1980-05-16,20.83,21.0,21.05,20.76,-,-0.76%
1980-05-19,20.83,20.72,20.85,20.6,-,0.00%
1980-05-20,20.9,20.85,20.94,20.75,-,0.34%
1980-05-21,21.78,21.25,21.9,21.25,-,4.21%
1980-05-22,22.17,21.85,22.23,21.83,-,1.79%
1980-05-23,22.23,22.05,22.25,21.92,-,0.27%
1980-05-27,22.3,22.17,22.33,22.11,-,0.31%
1980-05-28,21.98,22.3,22.32,21.97,-,-1.43%
1980-05-29,21.56,21.8,21.85,21.52,-,-1.91%
1980-05-30,21.52,21.55,21.73,21.5,-,-0.19%
1980-06-02,21.11,21.5,21.52,21.08,-,-1.91%
1980-06-03,21.37,21.05,21.38,20.87,-,1.23%
1980-06-04,21.23,21.45,21.45,21.1,-,-0.66%
1980-06-05,21.27,21.2,21.48,21.12,-,0.19%
1980-06-06,21.26,21.22,21.3,21.15,-,-0.05%
1980-06-09,21.55,21.3,21.72,21.25,-,1.36%
1980-06-10,21.48,21.55,21.61,21.42,-,-0.32%
1980-06-11,21.64,21.55,21.75,21.55,-,0.74%
1980-06-12,21.55,21.59,21.62,21.45,-,-0.42%
1980-06-13,21.63,21.6,21.65,21.55,-,0.37%
1980-06-16,22.11,21.68,22.12,21.63,-,2.22%
1980-06-17,21.91,22.0,22.35,21.9,-,-0.90%
1980-06-18,22.0,21.9,22.08,21.9,-,0.41%
1980-06-19,21.85,22.0,22.2,21.81,-,-0.68%
1980-06-20,22.11,21.96,22.12,21.9,-,1.19%
1980-06-23,22.64,22.2,22.68,22.1,-,2.40%
1980-06-24,22.62,22.69,22.69,22.48,-,-0.09%
1980-06-25,22.79,22.65,22.8,22.55,-,0.75%
1980-06-26,22.74,22.82,22.9,22.67,-,-0.22%
1980-06-27,23.1,22.7,23.12,22.67,-,1.58%
1980-06-30,23.99,23.1,24.0,22.95,-,3.85%
1980-07-01,23.96,23.95,24.25,23.75,-,-0.13%
1980-07-02,25.12,24.1,25.15,24.1,-,4.84%
1980-07-03,25.09,24.87,25.1,24.6,-,-0.12%
1980-07-07,25.45,25.5,26.15,25.35,-,1.43%
1980-07-08,25.39,25.45,25.5,24.8,-,-0.24%
1980-07-09,25.0,25.2,25.55,24.85,-,-1.54%
1980-07-10,25.37,25.15,25.48,25.15,-,1.48%
1980-07-11,26.21,25.9,26.3,25.9,-,3.31%
1980-07-14,28.25,27.4,28.35,27.22,-,7.78%
1980-07-15,27.1,28.1,28.15,26.5,-,-4.07%
1980-07-16,27.75,27.25,27.8,26.95,-,2.40%
1980-07-17,28.28,28.0,28.75,28.0,-,1.91%
1980-07-18,28.1,27.75,28.1,27.75,-,-0.64%
1980-07-21,27.12,27.65,27.65,26.95,-,-3.49%
1980-07-22,27.16,27.0,27.2,26.7,-,0.15%
1980-07-23,27.33,27.03,27.45,27.0,-,0.63%
1980-07-24,26.37,28.18,28.25,26.33,-,-3.51%
1980-07-25,26.12,26.38,26.45,25.57,-,-0.95%
1980-07-28,26.82,25.95,26.84,25.95,-,2.68%
1980-07-29,26.97,26.95,27.05,26.4,-,0.56%
1980-07-30,26.6,26.81,27.08,26.45,-,-1.37%
1980-07-31,27.52,26.87,27.55,26.85,-,3.46%
1980-08-01,27.77,27.55,27.9,27.35,-,0.91%
1980-08-04,26.73,27.18,27.2,26.7,-,-3.75%
1980-08-05,27.7,26.58,27.75,26.55,-,3.63%
1980-08-06,27.45,27.68,27.75,27.35,-,-0.90%
1980-08-07,27.15,27.48,27.65,27.06,-,-1.09%
1980-08-08,27.3,27.2,27.4,27.1,-,0.55%
1980-08-11,26.7,26.95,27.0,26.6,-,-2.20%
1980-08-12,27.07,26.85,27.7,26.85,-,1.39%
1980-08-13,26.68,26.95,27.0,26.65,-,-1.44%
1980-08-14,26.4,26.58,26.85,26.28,-,-1.05%
1980-08-15,25.35,25.98,26.0,25.25,-,-3.98%
1980-08-18,25.2,25.25,25.4,25.0,-,-0.59%
1980-08-19,25.3,25.15,25.51,25.1,-,0.40%
1980-08-20,25.35,25.3,25.7,25.3,-,0.20%
1980-08-21,25.72,25.5,25.8,25.32,-,1.46%
1980-08-22,25.42,25.73,25.8,25.33,-,-1.17%
1980-08-25,25.77,25.35,25.8,25.35,-,1.38%
1980-08-26,25.78,25.85,26.05,25.7,-,0.04%
1980-08-27,25.78,25.7,25.85,25.56,-,0.00%
1980-08-28,25.58,25.6,25.85,25.45,-,-0.78%
1980-08-29,26.27,25.7,26.5,25.7,-,2.70%
1980-09-02,26.48,26.15,26.55,26.1,-,0.80%
1980-09-03,26.97,26.7,27.1,26.22,-,1.85%
1980-09-04,26.87,27.05,27.05,26.56,-,-0.37%
1980-09-05,27.37,26.75,27.45,26.75,-,1.86%
1980-09-08,27.72,27.6,27.75,27.47,-,1.28%
1980-09-09,27.42,27.8,27.85,27.23,-,-1.08%
1980-09-10,27.48,27.5,27.55,27.2,-,0.22%
1980-09-11,27.59,27.45,27.7,27.31,-,0.40%
1980-09-12,26.72,27.4,28.15,26.6,-,-3.15%
1980-09-15,26.77,26.9,27.05,26.7,-,0.19%
1980-09-16,26.85,26.7,26.85,26.5,-,0.30%
1980-09-17,27.22,26.92,27.25,26.9,-,1.38%
1980-09-18,27.55,27.25,27.55,27.15,-,1.21%
1980-09-19,27.75,27.6,27.8,27.6,-,0.73%
1980-09-22,27.27,27.9,27.9,27.25,-,-1.73%
1980-09-23,27.13,27.25,27.25,26.95,-,-0.51%
1980-09-24,26.6,27.1,27.2,26.28,-,-1.95%
1980-09-25,25.9,26.45,26.6,25.9,-,-2.63%
1980-09-26,25.15,25.8,26.05,24.95,-,-2.90%
1980-09-29,25.33,25.0,25.5,24.65,-,0.72%
1980-09-30,25.11,25.25,25.4,25.0,-,-0.87%
1980-10-01,25.34,25.3,25.45,25.1,-,0.92%
1980-10-02,24.7,25.2,25.2,24.5,-,-2.53%
1980-10-03,25.12,24.5,25.15,24.5,-,1.70%
1980-10-06,25.78,25.2,25.85,25.2,-,2.63%
1980-10-07,25.55,25.8,25.8,25.36,-,-0.89%
1980-10-08,25.55,25.75,26.0,25.55,-,0.00%
1980-10-09,25.45,25.7,25.7,25.35,-,-0.39%
1980-10-10,25.55,25.5,25.75,25.5,-,0.39%
1980-10-13,26.77,26.9,27.25,26.68,-,4.77%
1980-10-14,26.13,26.6,26.6,26.07,-,-2.39%
1980-10-15,26.05,26.25,26.4,25.95,-,-0.31%
1980-10-16,25.35,25.85,25.85,25.3,-,-2.69%
1980-10-17,25.4,25.1,25.55,25.1,-,0.20%
1980-10-20,25.07,25.5,25.6,25.05,-,-1.30%
1980-10-21,25.6,25.0,25.75,24.95,-,2.11%
1980-10-22,26.6,25.9,26.6,25.9,-,3.91%
1980-10-23,26.55,26.9,26.9,26.5,-,-0.19%
1980-10-24,26.57,26.9,27.05,26.5,-,0.08%
