Date,Open,High,Low,Price,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1/4/61,2.9,2.91,2.9,2.9,,,24,25,,,
1/5/61,2.91,2.93,2.91,2.91,,,30,49,,,
1/6/61,2.97,2.97,2.92,2.97,,,27,77,,,
1/9/61,3.01,3.02,3.01,3.01,,,29,94,,,
1/10/61,3.02,3.02,3.02,3.02,,,17,110,,,
1/11/61,2.96,3.01,2.96,2.96,,,54,110,,,
1/12/61,2.9,2.94,2.9,2.9,,,44,123,,,
1/13/61,2.93,2.95,2.93,2.93,,,6,158,,,
1/16/61,2.93,2.94,2.93,2.93,,,28,162,,,
1/17/61,3,3.02,2.94,3,,,39,185,,,
1/18/61,2.99,3.01,2.99,2.99,,,15,195,,,
1/19/61,2.96,2.96,2.94,2.96,,,3,207,,,
1/20/61,2.91,2.91,2.91,2.91,,,2,207,,,
1/23/61,2.9,2.9,2.89,2.9,,,7,206,,,
1/24/61,2.87,2.88,2.87,2.87,,,13,207,,,
1/25/61,2.84,2.86,2.84,2.84,,,21,212,,,
1/26/61,2.85,2.86,2.85,2.85,,,9,224,,,
1/27/61,2.87,2.87,2.86,2.87,,,10,227,,,
1/30/61,2.89,2.89,2.88,2.89,,,11,231,,,
1/31/61,2.9,2.9,2.9,2.9,,,10,230,,,
2/1/61,2.92,2.93,2.9,2.92,,,35,239,,,
2/2/61,2.92,2.92,2.92,2.92,,,1,250,,,
2/3/61,2.88,2.88,2.88,2.88,,,1,250,,,
2/6/61,2.89,2.89,2.89,2.89,,,0,251,,,
2/7/61,2.86,2.86,2.86,2.86,,,8,251,,,
2/8/61,2.88,2.89,2.88,2.88,,,6,254,,,
2/9/61,2.89,2.91,2.89,2.89,,,6,254,,,
2/10/61,2.86,2.89,2.86,2.86,,,3,251,,,
2/14/61,2.86,2.89,2.86,2.86,,,2,250,,,
2/15/61,2.87,2.87,2.87,2.87,,,1,251,,,
2/16/61,2.85,2.86,2.84,2.85,,,29,252,,,
2/17/61,2.83,2.83,2.83,2.83,,,1,237,,,
2/20/61,2.83,2.83,2.83,2.83,,,0,237,,,
2/21/61,2.84,2.84,2.84,2.84,,,0,237,,,
2/23/61,2.85,2.85,2.85,2.85,,,0,237,,,
2/24/61,2.87,2.87,2.87,2.87,,,1,237,,,
2/27/61,2.91,2.91,2.91,2.91,,,0,237,,,
2/28/61,2.92,2.92,2.92,2.92,,,0,237,,,
3/1/61,2.88,2.88,2.88,2.88,,,1,237,,,
3/2/61,2.84,2.84,2.84,2.84,,,6,236,,,
3/3/61,2.92,2.92,2.92,2.92,,,0,243,,,
3/6/61,2.95,2.99,2.95,2.95,,,2,242,,,
3/7/61,2.89,2.89,2.89,2.89,,,2,243,,,
3/8/61,2.93,2.93,2.93,2.93,,,5,242,,,
3/9/61,2.92,2.92,2.92,2.92,,,0,247,,,
3/10/61,2.93,2.93,2.91,2.93,,,4,247,,,
3/13/61,2.94,2.94,2.94,2.94,,,0,248,,,
3/14/61,2.92,2.93,2.92,2.92,,,5,248,,,
3/15/61,2.92,2.92,2.92,2.92,,,3,251,,,
3/21/61,2.9,2.9,2.9,2.9,,,0,255,,,
3/22/61,2.94,2.94,2.94,2.94,,,1,255,,,
3/23/61,2.99,3.01,2.98,2.99,,,11,255,,,
3/24/61,3.01,3.05,3.01,3.01,,,15,252,,,
3/27/61,3,3,3,3,,,0,257,,,
3/28/61,2.99,2.99,2.99,2.99,,,0,257,,,
3/29/61,2.94,2.97,2.94,2.94,,,5,257,,,
3/30/61,2.94,2.95,2.94,2.94,,,10,260,,,
4/3/61,2.93,2.93,2.93,2.93,,,0,265,,,
4/4/61,2.93,2.97,2.93,2.93,,,27,265,,,
4/5/61,2.99,3,2.99,2.99,,,9,243,,,
4/6/61,3.01,3.01,3.01,3.01,,,0,243,,,
4/7/61,2.99,2.99,2.99,2.99,,,0,243,,,
4/10/61,3.06,3.06,3.04,3.06,,,29,243,,,
4/11/61,3.11,3.11,3.1,3.11,,,8,259,,,
4/12/61,3.09,3.09,3.09,3.09,,,0,260,,,
4/13/61,3.06,3.1,3.05,3.06,,,8,260,,,
4/14/61,3.04,3.05,3.03,3.04,,,20,259,,,
4/17/61,3.1,3.16,3.1,3.1,,,57,274,,,
4/18/61,3.19,3.19,3.1,3.19,,,65,251,,,
4/19/61,3.2,3.27,3.2,3.2,,,22,250,,,
4/20/61,3.16,3.2,3.08,3.16,,,47,253,,,
4/21/61,3.2,3.22,3.19,3.2,,,25,246,,,
4/24/61,3.25,3.25,3.24,3.25,,,9,254,,,
4/25/61,3.23,3.23,3.23,3.23,,,2,255,,,
4/26/61,3.23,3.23,3.19,3.23,,,10,255,,,
4/27/61,3.24,3.24,3.24,3.24,,,4,247,,,
4/28/61,3.22,3.22,3.22,3.22,,,3,244,,,
5/1/61,3.2,3.2,3.2,3.2,,,1,245,,,
5/2/61,3.24,3.24,3.2,3.24,,,3,245,,,
5/3/61,3.27,3.27,3.25,3.27,,,34,246,,,
5/4/61,3.29,3.29,3.28,3.29,,,18,235,,,
5/5/61,3.32,3.35,3.29,3.32,,,82,235,,,
5/8/61,3.3,3.3,3.3,3.3,,,11,184,,,
5/9/61,3.33,3.33,3.31,3.33,,,3,184,,,
5/10/61,3.37,3.39,3.36,3.37,,,42,184,,,
5/11/61,3.53,3.54,3.43,3.53,,,48,180,,,
5/12/61,3.54,3.58,3.51,3.54,,,42,173,,,
5/15/61,3.5,3.5,3.5,3.5,,,15,189,,,
5/16/61,3.44,3.46,3.44,3.44,,,11,198,,,
5/17/61,3.43,3.44,3.42,3.43,,,11,193,,,
5/18/61,3.4,3.42,3.4,3.4,,,18,186,,,
5/19/61,3.45,3.47,3.4,3.45,,,3,181,,,
5/22/61,3.45,3.45,3.45,3.45,,,0,182,,,
5/23/61,3.45,3.48,3.45,3.45,,,92,182,,,
5/24/61,3.46,3.46,3.46,3.46,,,0,226,,,
5/25/61,3.45,3.45,3.45,3.45,,,4,226,,,
5/26/61,3.44,3.45,3.44,3.44,,,6,227,,,
5/31/61,3.4,3.42,3.4,3.4,,,9,222,,,
6/1/61,3.5,3.5,3.49,3.5,,,8,220,,,
6/2/61,3.41,3.45,3.41,3.41,,,21,218,,,
6/5/61,3.35,3.38,3.34,3.35,,,20,206,,,
6/6/61,3.27,3.29,3.23,3.27,,,7,192,,,
6/7/61,3.29,3.29,3.29,3.29,,,0,194,,,
6/8/61,3.28,3.28,3.28,3.28,,,1,194,,,
6/9/61,3.2,3.2,3.2,3.2,,,3,193,,,
6/12/61,3.22,3.23,3.19,3.22,,,17,191,,,
6/13/61,3.15,3.15,3.15,3.15,,,2,176,,,
6/14/61,3.17,3.17,3.17,3.17,,,2,174,,,
6/15/61,3.17,3.17,3.17,3.17,,,33,172,,,
6/16/61,3.05,3.14,3.05,3.05,,,133,139,,,
6/19/61,3.02,3.02,3.02,3.02,,,1,204,,,
6/20/61,3.04,3.04,3.04,3.04,,,2,204,,,
6/21/61,3.07,3.07,3.03,3.07,,,21,204,,,
6/22/61,3.06,3.06,3.06,3.06,,,1,208,,,
6/23/61,3.05,3.05,3.05,3.05,,,1,208,,,
6/26/61,3.04,3.05,3.04,3.04,,,2,208,,,
6/27/61,3.02,3.02,3.02,3.02,,,1,209,,,
6/28/61,2.98,2.98,2.98,2.98,,,1,209,,,
6/29/61,3.02,3.02,3,3.02,,,18,209,,,
6/30/61,3.05,3.05,3.05,3.05,,,2,200,,,
7/5/61,3.09,3.09,3.04,3.09,,,4,200,,,
7/6/61,3.04,3.04,3.04,3.04,,,0,199,,,
7/7/61,3.03,3.03,3.03,3.03,,,0,199,,,
7/10/61,3.02,3.02,3.02,3.02,,,0,199,,,
7/11/61,3.01,3.01,3.01,3.01,,,0,199,,,
7/12/61,3.03,3.03,3.03,3.03,,,1,199,,,
7/13/61,3.02,3.02,3.02,3.02,,,0,200,,,
7/14/61,3.04,3.04,3.04,3.04,,,3,200,,,
7/17/61,3.05,3.05,3.05,3.05,,,3,200,,,
7/18/61,3.03,3.03,3.03,3.03,,,1,200,,,
7/19/61,2.99,3,2.99,2.99,,,6,201,,,
7/20/61,3,3,2.99,3,,,9,195,,,
7/21/61,3,3,3,3,,,16,190,,,
7/24/61,2.99,2.99,2.99,2.99,,,0,175,,,
7/25/61,3,3,3,3,,,0,175,,,
7/26/61,2.96,2.98,2.96,2.96,,,23,175,,,
7/27/61,2.95,2.97,2.95,2.95,,,13,175,,,
7/28/61,2.85,2.93,2.85,2.85,,,26,167,,,
7/31/61,2.8,2.82,2.8,2.8,,,29,148,,,
8/1/61,2.78,2.8,2.76,2.78,,,24,136,,,
8/2/61,2.76,2.78,2.76,2.76,,,10,135,,,
8/3/61,2.84,2.85,2.84,2.84,,,2,138,,,
8/4/61,2.85,2.85,2.85,2.85,,,5,137,,,
8/7/61,2.85,2.85,2.85,2.85,,,5,137,,,
8/8/61,2.85,2.85,2.85,2.85,,,3,132,,,
8/9/61,2.84,2.85,2.84,2.84,,,8,131,,,
8/10/61,2.84,2.84,2.84,2.84,,,0,125,,,
8/11/61,2.82,2.82,2.82,2.82,,,0,125,,,
8/14/61,2.85,2.85,2.85,2.85,,,11,125,,,
8/15/61,2.77,2.8,2.77,2.77,,,46,116,,,
8/16/61,2.84,2.85,2.65,2.84,,,29,115,,,
8/17/61,2.78,2.8,2.78,2.78,,,29,108,,,
8/18/61,2.8,2.8,2.8,2.8,,,2,117,,,
8/21/61,2.78,2.8,2.78,2.78,,,9,117,,,
8/22/61,2.67,2.68,2.67,2.67,,,18,115,,,
