Date,Asset_pair.1,Asset_1_sym,Asset_2_sym,spread,portfolio_rets,cummulative_rets,CAGR,numunitsshort_New,numUnits_New,zScore_New,hedge_ratio_New,longexit_New,shortexit_New,feature01,sharpe_New,FAC1_Asset2,FAC2_short,FAC3_hedge,FAC4_cumret_feat1,FAC5_portRisk_shortexit,FAC6_Sharpe,FAC7_longexit,FAC8_Asset1_portRisk
8/18/1990,DC_CL,DC,CL,4.12269331957508, , ,.0556,0,0,44.9402289267758,.110789677608057,1,1,1.89138908433511E-016,.708904958543386, , , , , , , , 
8/19/1990,DC_CL,DC,CL,3.32410217703259,0,1,.0556,0,0,44.9402289267758,.10990062742398,1,1,3.64393359662442E-005,.708904958543386,.702050832194246,.291021353338479,-.106671282238693,-1.72755352351604,-.674069321071792,1.53418046926627,-.3900331390007,-1.16456486118256
8/20/1990,DC_CL,DC,CL,2.96303191741629,0,1,.0556,0,0,44.9402289267758,.109498888879938,1,1,7.28786719322992E-005,.708904958543386,.657591370217727,.277601008907536,-.0507119350231598,-1.69910823003172,-.649593984750626,1.38373745956182,-.383479794709109,-1.14222258443384
8/21/1990,DC_CL,DC,CL,2.67698513980188,0,1,.0556,0,0,44.9402289267758,.109258577059281,1,1,.000109318007898354,.708904958543386,.655580802222392,.276830229080016,-.0468653830517818,-1.69769814363097,-.647669792451126,1.37709593228571,-.382472412180258,-1.14064956537681
8/22/1990,DC_CL,DC,CL,2.38766064480113,0,1,.0556,0,0,44.9402289267758,.109103631839726,1,1,.000145757343864409,.708904958543386,.646118174126057,.27499430349785,-.0425457831026469,-1.69307820359435,-.6466359423579,1.34309534978031,-.384680452262695,-1.1390126633368
8/23/1990,DC_CL,DC,CL,4.92825650457141,0,1,.0556,0,0,44.9402289267758,.108804083567392,1,1,.000182196679830464,.708904958543386,.660030567269637,.248051922874696,-.233968204116421,-1.74114797576104,-.395592551597658,1.34926984732683,-.217311599163743,-1.04710602205286
8/24/1990,DC_CL,DC,CL,5.29434468073601,0,1,.0556,0,0,44.9402289267758,.108421807271352,1,1,.000218636015796519,.708904958543386,.648176464951266,.274294363817445,-.0375700640382838,-1.69152280883283,-.641827071743047,1.35482873092134,-.379413960377259,-1.134636832505
8/25/1990,DC_CL,DC,CL,3.96662660736092,0,1,.0556,0,0,44.9402289267758,.1080798729551,1,1,.000255075351762574,.708904958543386,.824996091500901,.253997965797096,-.0998909006786648,-1.76476053093813,-.353068614747106,1.77762657317875,-.13766968740726,-1.01675582432795
8/26/1990,DC_CL,DC,CL,3.69758689489054,0,1,.0556,0,0,44.9402289267758,.107781003433051,1,1,.000291514687728629,.708904958543386,.639575866586398,.272829975191307,-.0345239250348508,-1.6882069288302,-.641442289042933,1.3225947037138,-.381972550256354,-1.13386222651143
8/27/1990,DC_CL,DC,CL,3.46568343178557,0,1,.0556,0,0,44.9402289267758,.10752345176204,1,1,.000327954023694684,.708904958543386,.640305040699613,.272871355529517,-.0340601212384765,-1.6885263546688,-.640939054123098,1.32527854398604,-.381283436224008,-1.13358277910799
