Date,Asset_pair.1,Asset_1_sym,Asset_2_sym,spread,portfolio_rets,cummulative_rets,CAGR,numunitsshort_New,numUnits_New,zScore_New,hedge_ratio_New,longexit_New,shortexit_New,feature01,sharpe_New,FAC1_Asset2,FAC2_short,FAC3_hedge,FAC4_cumret_feat1,FAC5_portRisk_shortexit,FAC6_Sharpe,FAC7_longexit,FAC8_Asset1_portRisk
8/18/1990,DC_SB,DC,SB,1.64158937628906, , ,.0573,0,0,44.9402289267758,.127336248929632,1,1,1.89138908433511E-016,-.432532062621979, , , , , , , , 
8/19/1990,DC_SB,DC,SB,1.32360338170351,0,1,.0573,0,0,44.9402289267758,.126976956831042,1,1,3.64393359662442E-005,-.432532062621979,1.68447780068723,.223663574637895,.278451568685653,-1.83605453947356,-.0762780175787589,-.396681460043977,.0339325326045136,-.185195745184621
8/20/1990,DC_SB,DC,SB,1.17983108133237,0,1,.0573,0,0,44.9402289267758,.12681454558702,1,1,7.28786719322992E-005,-.432532062621979,1.67814917068573,.217780684989139,.308183942616684,-1.82760196919858,-.0550719887373688,-.419332912793975,.0486622390865977,-.170471166436218
8/21/1990,DC_SB,DC,SB,.982758410746674,0,1,.0573,0,0,44.9402289267758,.126727490526678,1,1,.000109318007898354,-.432532062621979,1.67661187634791,.218520832522633,.302998225439166,-1.82804513347717,-.0594306895719895,-.424883315419574,.0447364571257051,-.173234047741408
8/22/1990,DC_SB,DC,SB,.75683933488116,0,1,.0573,0,0,44.9402289267758,.126686921500041,1,1,.000145757343864409,-.432532062621979,1.67763079235662,.219466589451707,.298368102472774,-1.82942513365654,-.0627864455298418,-.421348020419078,.0424005739785381,-.175631086397321
8/23/1990,DC_SB,DC,SB,.673410321704512,0,1,.0573,0,0,44.9402289267758,.12667175438528,1,1,.000182196679830464,-.432532062621979,1.67663298907234,.216694682959756,.31375422256621,-1.82592854120301,-.051322444171619,-.424917225712612,.0511220855934726,-.167955339702772
8/24/1990,DC_SB,DC,SB,.94549971629101,0,1,.0573,0,0,44.9402289267758,.12665152594339,1,1,.000218636015796519,-.432532062621979,1.67568978146546,.220179007443687,.292839578617732,-1.82946949204605,-.0673396083902934,-.427973940290194,.0382332430168352,-.178377986470225
8/25/1990,DC_SB,DC,SB,1.26923529677636,0,1,.0573,0,0,44.9402289267758,.126610569588031,1,1,.000255075351762574,-.432532062621979,1.67544698877673,.221623070507524,.284082673777498,-1.83085913250694,-.0738321386269903,-.428538000229487,.0330835948430846,-.182549405314477
8/26/1990,DC_SB,DC,SB,1.22562638070809,0,1,.0573,0,0,44.9402289267758,.126561320434443,1,1,.000291514687728629,-.432532062621979,1.67670778287595,.216728569762959,.313118907612641,-1.8255589367761,-.0512916092604388,-.424090660582107,.0512614104305381,-.167765860283162
8/27/1990,DC_SB,DC,SB,1.18059186693373,0,1,.0573,0,0,44.9402289267758,.126510463522485,1,1,.000327954023694684,-.432532062621979,1.67666373245459,.216732430299668,.313070123399162,-1.82550142964499,-.0512972530083932,-.42422383794301,.0512510996050123,-.167771401004204
