Date,Equal weighting,Inverse Variance weighting,Mean-Variance weighting,Robust Mean-Variance weighting,Min-Variance weighting,Robust Min-Variance weighting,Hierarchical weighting (by LdP),Robust Hierarchical weighting (by LdP)
1991-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
